file_id,fold
1000216489776414077,1
1000603527582775543,2
1000660467359258186,1
100071707854144929,0
1000823728928031783,0
1000934780200790693,2
1001436206602675989,1
10016536018877742,1
1001792196232384964,0
1002294268041839364,0
1002860788164505892,3
1003469013039808123,3
1003490578134896390,0
10038729395249389,2
1003994937842600998,1
1004713532062164491,0
1004946886927737572,1
1006714073984511039,3
1006793757071532139,1
1008059333185464192,3
1008228711816244046,3
1008786564566646931,1
1008927340998874780,1
1009826116837013927,3
1009978130200705421,2
1010442478196990831,0
1010450737335314351,0
1010494526449412435,2
1011991214639847439,3
1013942970059727329,2
1014013767105267825,0
1014219735188126584,0
1015004752231541787,1
1015192232086434694,2
1015638064991661829,1
1015795485129760073,2
1016299768525363991,1
1017161294763190782,3
101725507974209875,3
1017261498242457520,0
1017966561291686881,1
1018201077877280524,0
1019747901459344689,0
1019974467277094887,1
1020484857235954830,1
1020938970983127024,1
1020975421627541928,3
102129097533949528,1
1021472947691975676,0
1021537934095520750,0
1021669416575304841,0
1022104514578519270,0
102251599132794748,2
1022844578883577461,2
1023170669334151043,0
1023779081293051446,3
1024040752866694570,3
1025601557353712387,1
102688976802944165,1
1026930305418425156,1
1027498399937731739,2
1027621641022168838,0
1028558144911794996,1
1028719538237845789,3
1028812987824095369,1
1028918171501282624,1
1029200331892438991,3
1029379057144333137,3
1029447653104848738,2
1029669746148696544,1
1030053475121369536,1
1030175938012644685,1
1030801092171329841,2
1031727899627688055,1
1032264697118653131,1
103254557049333037,0
1032809161010157334,2
1033241944351009928,3
1034370718901915939,0
1034856057197571765,2
1035109812839179499,0
1035115825220543849,0
103545453988269646,0
1036514730419020672,1
1036652869903539526,3
1036781306679205924,3
103733959913984251,0
1037509194786240155,0
1037637192748343195,0
1039356812304113823,3
1039499017168698744,1
1040114145332266275,1
1040287858654931079,0
1040554858290084174,3
1041194727173890276,3
1041708881855568056,2
1042672147854789492,2
1043535019974112334,1
1044167602023431120,1
1044208670275475053,1
1045354530720906678,3
1045756772559720075,0
1045910853722873646,1
1045919570721429294,2
1045947705986958647,1
1047229739294854999,2
1048171913220185024,0
1048654221272409691,3
1048831601264846795,0
1048966600944720544,3
1048970725678096152,3
1049134653476610220,0
1049183165080046027,1
1049216283658013554,0
1049872451167469840,2
1050440282423161021,1
1050988268696617688,0
1051517606496299489,3
1052351707485175242,2
1052422561156886093,1
1053245436137377543,0
1053261235359945194,1
1053408106910412934,2
10534680566306659,1
1053598789736221837,2
1054454853622190139,2
1054678621210041248,3
1055176564063898787,2
105522764589442078,1
105560279715848497,3
1055836468751083476,1
105587646388581681,1
1056363987134252221,1
1056517977458773351,3
1056778898536302453,3
1056941506634290544,3
1057689067543351622,2
1057843012146101063,3
1057869295406149858,0
1058758933288702796,0
1059194899899987636,1
1059321457184607293,1
1060095450493119347,0
1060255682366112357,3
106033532174780547,0
1061457468908604445,1
1062067427843881392,1
1063024545451565686,1
1063030140922143088,1
1063099156503192324,1
1063242204582703831,0
1063599895043485193,3
1064124904335161148,3
1064250192880618940,2
106452681966739551,2
1064664214626000430,2
106514883344928163,1
1065684155288645846,2
1066439758183531248,0
1068129139636248077,0
1068345722154278322,3
1068363832504391138,3
106857785256759382,0
1068679462600096146,1
1068741416812985096,2
106890220152177974,2
1070212267765581096,1
1071085670137590570,3
1071495349509034895,3
1072198107119358249,1
1072219046611419186,0
1072293946686246882,3
1072435812580604235,2
1072511527052723384,2
1072676124172995460,2
1072824153141510149,2
1073243601626807189,0
1073281037277342358,2
10733623242774169,1
1073684479602896937,1
1074044776822563225,3
1074165712766223877,3
1074329538891502084,1
1074538775900097024,2
1076005109232720887,2
1077638175478287595,0
1077915907565570091,1
1077937814527774981,2
1077953849643165180,3
1078430210061306466,0
1079301347462854183,3
1079341809643272259,0
1079346369324083696,2
1079516334202361531,2
1079625089292651048,0
1079752246378658680,2
1079814548340098627,1
1080562574827899446,2
1080927557949714876,1
1081461085600760381,1
1082088049484238125,2
1082297381767357636,1
1082480298832649742,0
1083158762246960384,1
1083465033403499127,2
1084181188148949041,0
1084206165728186183,0
1084619680686767453,2
1085376128232409737,3
1085393781054376791,0
108560523205089082,3
1085764603771625844,0
1085982745543323059,2
1086801162024895973,2
1087664972353477633,0
1087865100665926459,3
1087895549078448495,2
1088112412332785289,2
